symbol,side,entry_price,avg_exit_price,size_usdt,pnl_usdt,pnl_pct,fee_total,funding_paid,entry_ts,exit_ts,duration_min,score,exit_reason,correlation_id,source,confs,regime,macro_risk
BTC/USDT,LONG,76658.077266,76639.577104,195.5916,-0.1255,-0.06,0.1565,0.0,2026-04-27T16:50:23.547968+00:00,2026-04-27T17:09:14.978975+00:00,18.9,6,sl,16a6f22a9375,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
PAXG/USDT,SHORT,4674.303734,4670.770715,196.9101,0.0701,0.04,0.1575,0.0,2026-04-27T14:32:38.520680+00:00,2026-04-27T17:33:59.125135+00:00,181.3,5,sl,120508796325,internal,"['EMA200-H4 baissier', 'OB/FVG 30m (tested)', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76773.28635,76755.275288,195.5559,-0.1241,-0.06,0.1564,0.0,2026-04-27T17:12:35.429698+00:00,2026-04-27T17:41:28.167287+00:00,28.9,6,sl,6b9c27c54181,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76882.932098,76630.983806,195.4612,-0.7187,-0.37,0.1564,0.0,2026-04-27T17:43:32.969093+00:00,2026-04-27T18:09:27.015690+00:00,25.9,6,sl,bc8fd0166bff,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76866.312132,76606.65841,195.2978,-0.7378,-0.38,0.1562,0.0,2026-04-27T18:17:38.694720+00:00,2026-04-27T19:29:26.480823+00:00,71.8,6,sl,8183f5498f4d,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'Liquidity sweep', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76675.978,76766.498015,195.1254,0.1523,0.08,0.1561,0.0,2026-04-27T19:32:39.773472+00:00,2026-04-27T19:59:55.916832+00:00,27.3,6,tp_cascade,963d9d96df58,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76927.989116,76946.702028,195.1426,-0.0306,-0.02,0.1561,0.0,2026-04-27T20:02:59.753584+00:00,2026-04-27T21:01:06.434581+00:00,58.1,6,sl,a314bd194023,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'Liquidity sweep', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76946.150006,76744.845448,195.0981,-0.5884,-0.3,0.1561,0.0,2026-04-27T21:04:22.517972+00:00,2026-04-27T21:59:46.098230+00:00,55.4,6,sl,1567c404fed2,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Liquidity sweep', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76836.184066,76871.942644,194.9435,0.0128,0.01,0.1559,0.0,2026-04-27T21:59:51.745942+00:00,2026-04-27T22:29:56.139984+00:00,30.1,6,tp_cascade,ce10d35db4d1,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Liquidity sweep', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77064.26083,77100.125585,194.9025,0.0128,0.01,0.1559,0.0,2026-04-27T22:31:44.869613+00:00,2026-04-27T23:17:11.999174+00:00,45.5,6,tp_cascade,c46fe7fa4fba,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77169.734076,77205.647901,194.8922,0.0128,0.01,0.1559,0.0,2026-04-27T23:18:21.873822+00:00,2026-04-27T23:42:52.355402+00:00,24.5,6,tp_cascade,35957b5f3881,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77340.366394,77333.046715,194.8506,-0.0964,-0.05,0.1559,0.0,2026-04-27T23:44:44.933522+00:00,2026-04-28T00:00:44.269912+00:00,16.0,6,sl,413f32047f14,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
PAXG/USDT,SHORT,4672.04509,4691.473196,195.549,-0.8914,-0.46,0.1564,0.0,2026-04-27T17:34:47.212088+00:00,2026-04-28T00:07:58.308195+00:00,393.2,5,sl,ea9b583485c9,internal,"['EMA200-H4 baissier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77333.452248,77325.734639,194.8011,-0.0974,-0.05,0.1558,0.0,2026-04-28T00:04:56.830846+00:00,2026-04-28T00:13:38.582322+00:00,8.7,6,sl,cb980a02b135,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77372.385594,77339.593528,194.675,-0.1604,-0.08,0.1557,0.0,2026-04-28T00:15:16.204508+00:00,2026-04-28T00:18:35.313121+00:00,3.3,6,sl,d6227346cc5f,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77323.536302,77377.486102,194.6384,0.058,0.03,0.1557,0.0,2026-04-28T00:20:17.261938+00:00,2026-04-28T00:42:17.529348+00:00,22.0,6,tp_cascade,e6c3e1ad6af0,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77511.539036,77266.31238,194.6681,-0.6937,-0.36,0.1557,0.0,2026-04-28T00:47:12.500957+00:00,2026-04-28T00:52:02.257167+00:00,4.8,6,sl,eaff3179d7e3,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77368.3932,77334.981468,194.5103,-0.1618,-0.08,0.1556,0.0,2026-04-28T00:52:44.997059+00:00,2026-04-28T01:00:16.469491+00:00,7.5,6,sl,645adf136991,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77395.15925,77183.662,194.5081,-0.6093,-0.31,0.1556,0.0,2026-04-28T01:03:02.549541+00:00,2026-04-28T01:19:59.282955+00:00,16.9,6,sl,dcec912662b4,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77280.720628,77076.266476,194.3492,-0.5919,-0.3,0.1555,0.0,2026-04-28T01:24:12.710340+00:00,2026-04-28T01:34:20.674300+00:00,10.1,6,sl,fb3105309480,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77168.813524,77129.347944,194.2301,-0.177,-0.09,0.1554,0.0,2026-04-28T01:34:20.814841+00:00,2026-04-28T01:43:11.596087+00:00,8.8,6,sl,0febe9a491a9,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4686.48642,4676.394988,194.7124,0.3414,0.18,0.1558,0.0,2026-04-28T00:08:36.374049+00:00,2026-04-28T01:57:16.387699+00:00,108.7,5,tp_cascade,3b494325dd3b,internal,"['EMA200-H4 baissier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77147.000444,77111.511779,194.1657,-0.167,-0.09,0.1553,0.0,2026-04-28T01:44:59.259321+00:00,2026-04-28T02:06:21.880380+00:00,21.4,6,sl,9830580ee218,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77188.315218,76974.947304,194.0597,-0.6141,-0.32,0.1552,0.0,2026-04-28T02:11:07.032798+00:00,2026-04-28T02:29:33.982492+00:00,18.4,6,sl,d4195d99c221,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77044.869202,76819.250778,193.9404,-0.6455,-0.33,0.1552,0.0,2026-04-28T02:31:26.967052+00:00,2026-04-28T02:38:51.753518+00:00,7.4,6,sl,abee54ebb901,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
