2026-05-02 07:17:08,109 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-small/revision/main "HTTP/1.1 200 OK"
2026-05-02 07:17:08,121 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 17)
2026-05-02 07:17:08,136 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 22)
2026-05-02 07:17:08,152 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 18)
2026-05-02 07:17:08,182 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 19)
2026-05-02 07:17:08,198 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 20)
2026-05-02 07:17:08,214 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 21)
2026-05-02 07:17:08,229 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 22)
2026-05-02 07:17:08,617 | INFO     | data.gold_provider | [GOLD/TD] XAU/USD/2h → 500 bougies
2026-05-02 07:17:08,626 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 23)
2026-05-02 07:17:08,641 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 23)
2026-05-02 07:17:08,657 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 24)
2026-05-02 07:17:08,757 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 24)
2026-05-02 07:17:08,784 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 25)
2026-05-02 07:17:08,799 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 26)
2026-05-02 07:17:08,815 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 27)
2026-05-02 07:17:08,830 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 25)
2026-05-02 07:17:08,847 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 26)
2026-05-02 07:17:08,870 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 28)
2026-05-02 07:17:08,893 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 27)
2026-05-02 07:17:08,909 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 28)
2026-05-02 07:17:08,934 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 29)
2026-05-02 07:17:08,950 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 30)
